soc/current,-150,-75,0,75,150
0.00,14425.37,6427.67,0.00,-2667.25,-2718.14
0.05,8780.43,2938.16,0.00,-1654.31,-1964.22
0.10,8220.38,3383.36,0.00,1550.37,4476.38
0.15,8791.20,3471.15,0.00,1084.38,3941.45
0.20,8721.19,3483.69,0.00,703.30,3442.43
0.25,6841.79,2580.74,0.00,1074.51,4167.63
0.30,4725.44,906.53,0.00,1779.42,6099.09
0.35,3099.13,266.94,0.00,3230.71,8048.50
0.40,2447.53,2000.00,0.00,3315.61,8626.50
0.45,2092.12,2000.00,0.00,3522.94,8827.55
0.50,2312.91,2000.00,0.00,3434.09,8773.70
0.55,2813.72,2089.22,0.00,3412.37,8967.56
0.60,3546.10,1028.80,0.00,3337.33,8572.65
0.65,4908.53,1740.50,0.00,2336.24,6357.57
0.70,5420.12,1840.83,0.00,1526.68,5097.46
0.75,5430.89,1765.58,0.00,1453.62,5079.51
0.80,5177.79,1649.58,0.00,1751.78,5284.14
0.85,4913.92,1568.06,0.00,1793.24,5513.97
0.90,4633.89,1401.89,0.00,1801.14,5743.67
0.95,4133.07,260.81,0.00,1751.78,6160.12
1.00,724.30,-335.05,0.00,3708.64,7513.58
